subjID,correct_pred,human_vs_gpt,prob_type,intsize
66,1,0,3,0
66,1,0,4,0
66,1,0,5,0
67,1,0,0,0
67,1,0,1,0
67,1,0,2,0
67,1,0,3,0
67,0,0,4,0
67,1,0,5,0
68,1,0,0,0
68,1,0,1,0
68,1,0,2,0
68,1,0,3,0
68,1,0,4,0
68,0,0,5,0
69,1,0,0,0
69,1,0,1,0
69,1,0,2,0
69,1,0,3,0
69,0,0,4,0
69,0,0,5,0
70,1,0,0,0
70,0,0,1,0
70,1,0,2,0
70,1,0,3,0
70,1,0,4,0
70,1,0,5,0
71,1,0,0,0
71,1,0,1,0
71,1,0,2,0
71,1,0,3,0
71,0,0,4,0
71,0,0,5,0
72,1,0,0,0
72,1,0,1,0
72,1,0,2,0
72,1,0,3,0
72,0,0,4,0
72,1,0,5,0
73,1,0,0,0
73,1,0,1,0
73,1,0,2,0
73,1,0,3,0
73,0,0,4,0
73,0,0,5,0
74,1,0,0,0
74,1,0,1,0
74,1,0,2,0
74,1,0,3,0
74,1,0,4,0
74,0,0,5,0
75,1,0,0,0
75,1,0,1,0
75,1,0,2,0
75,1,0,3,0
75,0,0,4,0
75,1,0,5,0
76,1,0,0,0
76,1,0,1,0
76,1,0,2,0
76,1,0,3,0
76,1,0,4,0
76,0,0,5,0
77,1,0,0,0
77,1,0,1,0
77,1,0,2,0
77,1,0,3,0
77,0,0,4,0
77,0,0,5,0
78,1,0,0,0
78,1,0,1,0
78,1,0,2,0
78,1,0,3,0
78,0,0,4,0
78,0,0,5,0
79,1,0,0,0
79,1,0,1,0
79,0,0,2,0
79,1,0,3,0
79,0,0,4,0
79,0,0,5,0
80,1,0,0,0
80,1,0,1,0
80,1,0,2,0
80,1,0,3,0
80,0,0,4,0
80,0,0,5,0
81,1,0,0,0
81,1,0,1,0
81,1,0,2,0
81,1,0,3,0
81,0,0,4,0
81,0,0,5,0
82,1,0,0,0
82,1,0,1,0
82,1,0,2,0
82,1,0,3,0
82,1,0,4,0
82,0,0,5,0
83,1,0,0,0
83,0,0,1,0
83,1,0,2,0
83,1,0,3,0
83,1,0,4,0
83,1,0,5,0
84,1,0,0,0
84,1,0,1,0
84,1,0,2,0
84,1,0,3,0
84,0,0,4,0
84,0,0,5,0
85,1,0,0,0
85,1,0,1,0
85,1,0,2,0
85,1,0,3,0
85,1,0,4,0
85,1,0,5,0
86,1,0,0,0
86,1,0,1,0
86,1,0,2,0
86,1,0,3,0
86,1,0,4,0
86,1,0,5,0
87,1,0,0,0
87,1,0,1,0
87,1,0,2,0
87,1,0,3,0
87,1,0,4,0
87,1,0,5,0
88,1,0,0,0
88,1,0,1,0
88,1,0,2,0
88,1,0,3,0
88,0,0,4,0
88,0,0,5,0
89,1,0,0,0
89,1,0,1,0
89,1,0,2,0
89,0,0,3,0
89,0,0,4,0
89,0,0,5,0
90,1,0,0,0
90,1,0,1,0
90,1,0,2,0
90,1,0,3,0
90,1,0,4,0
90,0,0,5,0
91,1,0,0,0
91,1,0,1,0
91,1,0,2,0
91,1,0,3,0
91,1,0,4,0
91,0,0,5,0
92,1,0,0,0
92,1,0,1,0
92,1,0,2,0
92,1,0,3,0
92,1,0,4,0
92,0,0,5,0
93,0,0,0,0
93,1,0,1,0
93,1,0,2,0
93,1,0,3,0
93,0,0,4,0
93,0,0,5,0
94,1,0,0,0
94,1,0,1,0
94,1,0,2,0
94,1,0,3,0
94,1,0,4,0
94,1,0,5,0
95,0,0,0,0
95,1,0,1,0
95,1,0,2,0
95,1,0,3,0
95,0,0,4,0
95,0,0,5,0
96,1,0,0,0
96,1,0,1,0
96,1,0,2,0
96,1,0,3,0
96,1,0,4,0
96,0,0,5,0
97,1,0,0,0
97,1,0,1,0
97,1,0,2,0
97,1,0,3,0
97,0,0,4,0
97,1,0,5,0
98,1,0,0,0
98,1,0,1,0
98,1,0,2,0
98,1,0,3,0
98,1,0,4,0
98,0,0,5,0
99,1,0,0,1
99,0,0,1,1
99,1,0,2,1
99,1,0,3,1
99,0,0,4,1
99,1,0,5,1
100,1,0,0,1
100,1,0,1,1
100,1,0,2,1
100,1,0,3,1
100,0,0,4,1
100,0,0,5,1
101,1,0,0,1
101,1,0,1,1
101,0,0,2,1
101,1,0,3,1
101,1,0,4,1
101,1,0,5,1
102,1,0,0,1
102,1,0,1,1
102,0,0,2,1
102,1,0,3,1
102,0,0,4,1
102,0,0,5,1
103,0,0,0,1
103,0,0,1,1
103,0,0,2,1
103,0,0,3,1
103,0,0,4,1
103,0,0,5,1
104,1,0,0,1
104,1,0,1,1
104,0,0,2,1
104,1,0,3,1
104,1,0,4,1
104,1,0,5,1
105,1,0,0,1
105,1,0,1,1
105,1,0,2,1
105,1,0,3,1
105,0,0,4,1
105,0,0,5,1
106,1,0,0,1
106,0,0,1,1
106,0,0,2,1
106,1,0,3,1
106,0,0,4,1
106,0,0,5,1
107,1,0,0,1
107,1,0,1,1
107,1,0,2,1
107,1,0,3,1
107,0,0,4,1
107,0,0,5,1
108,1,0,0,1
108,1,0,1,1
108,1,0,2,1
108,1,0,3,1
108,1,0,4,1
108,1,0,5,1
109,0,0,0,1
109,0,0,1,1
109,0,0,2,1
109,0,0,3,1
109,0,0,4,1
109,0,0,5,1
110,1,0,0,1
110,1,0,1,1
110,0,0,2,1
110,0,0,3,1
110,0,0,4,1
110,0,0,5,1
111,1,0,0,1
111,1,0,1,1
111,1,0,2,1
111,1,0,3,1
111,1,0,4,1
111,0,0,5,1
112,1,0,0,1
112,1,0,1,1
112,1,0,2,1
112,1,0,3,1
112,0,0,4,1
112,0,0,5,1
113,0,0,0,1
113,0,0,1,1
113,0,0,2,1
113,1,0,3,1
113,0,0,4,1
113,0,0,5,1
114,1,0,0,1
114,1,0,1,1
114,0,0,2,1
114,1,0,3,1
114,0,0,4,1
114,0,0,5,1
115,0,0,0,1
115,1,0,1,1
115,1,0,2,1
115,1,0,3,1
115,0,0,4,1
115,0,0,5,1
116,1,0,0,1
116,0,0,1,1
116,0,0,2,1
116,1,0,3,1
116,0,0,4,1
116,0,0,5,1
117,1,0,0,1
117,1,0,1,1
117,1,0,2,1
117,0,0,3,1
117,1,0,4,1
117,1,0,5,1
118,0,0,0,1
118,1,0,1,1
118,1,0,2,1
118,1,0,3,1
118,0,0,4,1
118,0,0,5,1
119,0,0,0,1
119,0,0,1,1
119,1,0,2,1
119,0,0,3,1
119,0,0,4,1
119,0,0,5,1
120,1,0,0,1
120,0,0,1,1
120,0,0,2,1
120,1,0,3,1
120,0,0,4,1
120,0,0,5,1
121,0,0,0,1
121,1,0,1,1
121,1,0,2,1
121,1,0,3,1
121,0,0,4,1
121,0,0,5,1
122,1,0,0,1
122,1,0,1,1
122,0,0,2,1
122,1,0,3,1
122,0,0,4,1
122,0,0,5,1
123,0,0,0,1
123,0,0,1,1
123,1,0,2,1
123,1,0,3,1
123,0,0,4,1
123,0,0,5,1
124,1,0,0,1
124,1,0,1,1
124,1,0,2,1
124,1,0,3,1
124,1,0,4,1
124,1,0,5,1
125,0,0,0,1
125,0,0,1,1
125,0,0,2,1
125,0,0,3,1
125,0,0,4,1
125,0,0,5,1
126,1,0,0,1
126,0,0,1,1
126,0,0,2,1
126,1,0,3,1
126,0,0,4,1
126,0,0,5,1
127,1,0,0,1
127,1,0,1,1
127,1,0,2,1
127,1,0,3,1
127,1,0,4,1
127,0,0,5,1
128,1,0,0,1
128,1,0,1,1
128,1,0,2,1
128,1,0,3,1
128,1,0,4,1
128,0,0,5,1
129,1,0,0,1
129,1,0,1,1
129,1,0,2,1
129,1,0,3,1
129,0,0,4,1
129,0,0,5,1
130,0,0,0,1
130,1,0,1,1
130,1,0,2,1
130,1,0,3,1
130,0,0,4,1
130,0,0,5,1
131,1,0,0,1
131,0,0,1,1
131,0,0,2,1
131,1,0,3,1
131,0,0,4,1
131,0,0,5,1
132,0,0,0,1
132,1,0,1,1
132,0,0,2,1
132,0,0,3,1
132,0,0,4,1
132,0,0,5,1
133,0,0,0,1
133,1,0,1,1
133,1,0,2,1
133,0,0,3,1
133,0,0,4,1
133,0,0,5,1
134,1,0,0,1
134,1,0,1,1
134,1,0,2,1
134,1,0,3,1
134,0,0,4,1
134,1,0,5,1
135,0,0,0,1
135,1,0,1,1
135,1,0,2,1
135,1,0,3,1
135,1,0,4,1
135,1,0,5,1
136,0,0,0,1
136,1,0,1,1
136,1,0,2,1
136,1,0,3,1
136,1,0,4,1
136,1,0,5,1
137,1,0,0,1
137,1,0,1,1
137,1,0,2,1
137,1,0,3,1
137,1,0,4,1
137,1,0,5,1
138,1,0,0,1
138,1,0,1,1
138,1,0,2,1
138,1,0,3,1
138,0,0,4,1
138,0,0,5,1
139,1,0,0,1
139,1,0,1,1
139,0,0,2,1
139,1,0,3,1
139,0,0,4,1
139,0,0,5,1
140,1,0,0,1
140,0,0,1,1
140,1,0,2,1
140,1,0,3,1
140,0,0,4,1
140,0,0,5,1
141,0,0,0,1
141,0,0,1,1
141,0,0,2,1
141,1,0,3,1
141,0,0,4,1
141,0,0,5,1
142,0,0,0,1
142,0,0,1,1
142,1,0,2,1
142,0,0,3,1
142,0,0,4,1
142,0,0,5,1
143,1,0,0,1
143,1,0,1,1
143,1,0,2,1
143,0,0,3,1
143,0,0,4,1
143,0,0,5,1
144,0,0,0,1
144,0,0,1,1
144,0,0,2,1
144,1,0,3,1
144,0,0,4,1
144,0,0,5,1
145,1,0,0,1
145,1,0,1,1
145,1,0,2,1
145,1,0,3,1
145,0,0,4,1
145,0,0,5,1
146,0,0,0,1
146,0,0,1,1
146,0,0,2,1
146,0,0,3,1
146,0,0,4,1
146,0,0,5,1
147,1,0,0,1
147,1,0,1,1
147,1,0,2,1
147,0,0,3,1
147,0,0,4,1
147,0,0,5,1
148,0,0,0,1
148,1,0,1,1
148,1,0,2,1
148,0,0,3,1
148,0,0,4,1
148,0,0,5,1
149,1,0,0,1
149,1,0,1,1
149,1,0,2,1
149,1,0,3,1
149,0,0,4,1
149,0,0,5,1
150,1,0,0,1
150,0,0,1,1
150,0,0,2,1
150,1,0,3,1
150,0,0,4,1
150,0,0,5,1
151,1,0,0,1
151,1,0,1,1
151,1,0,2,1
151,1,0,3,1
151,0,0,4,1
151,0,0,5,1
152,0,0,0,1
152,0,0,1,1
152,1,0,2,1
152,1,0,3,1
152,0,0,4,1
152,0,0,5,1
153,1,0,0,1
153,1,0,1,1
153,1,0,2,1
153,1,0,3,1
153,1,0,4,1
153,0,0,5,1
154,1,0,0,1
154,1,0,1,1
154,1,0,2,1
154,1,0,3,1
154,1,0,4,1
154,1,0,5,1
155,1,0,0,1
155,1,0,1,1
155,0,0,2,1
155,1,0,3,1
155,0,0,4,1
155,1,0,5,1
156,0,0,0,1
156,0,0,1,1
156,1,0,2,1
156,0,0,3,1
156,0,0,4,1
156,0,0,5,1
157,0,0,0,1
157,0,0,1,1
157,0,0,2,1
157,0,0,3,1
157,0,0,4,1
157,0,0,5,1
158,1,0,0,1
158,0,0,1,1
158,1,0,2,1
158,1,0,3,1
158,1,0,4,1
158,1,0,5,1
159,1,0,0,1
159,1,0,1,1
159,0,0,2,1
159,0,0,3,1
159,0,0,4,1
159,0,0,5,1
160,1,0,0,1
160,1,0,1,1
160,1,0,2,1
160,1,0,3,1
160,1,0,4,1
160,0,0,5,1
161,1,0,0,1
161,1,0,1,1
161,1,0,2,1
161,1,0,3,1
161,1,0,4,1
161,1,0,5,1
162,1,0,0,1
162,1,0,1,1
162,1,0,2,1
162,1,0,3,1
162,0,0,4,1
162,0,0,5,1
163,1,0,0,1
163,1,0,1,1
163,0,0,2,1
163,0,0,3,1
163,0,0,4,1
163,0,0,5,1
164,0,0,0,1
164,0,0,1,1
164,0,0,2,1
164,0,0,3,1
164,0,0,4,1
164,0,0,5,1
165,0,0,0,1
165,0,0,1,1
165,1,0,2,1
165,1,0,3,1
165,0,0,4,1
165,0,0,5,1
166,1,0,0,1
166,1,0,1,1
166,1,0,2,1
166,0,0,3,1
166,0,0,4,1
166,0,0,5,1
167,0,0,0,1
167,1,0,1,1
167,1,0,2,1
167,1,0,3,1
167,1,0,4,1
167,0,0,5,1
168,1,0,0,1
168,0,0,1,1
168,1,0,2,1
168,1,0,3,1
168,0,0,4,1
168,0,0,5,1
169,1,0,0,1
169,1,0,1,1
169,1,0,2,1
169,1,0,3,1
169,1,0,4,1
169,1,0,5,1
170,1,0,0,1
170,1,0,1,1
170,1,0,2,1
170,1,0,3,1
170,0,0,4,1
170,0,0,5,1
171,0,0,0,1
171,0,0,1,1
171,0,0,2,1
171,0,0,3,1
171,0,0,4,1
171,0,0,5,1
172,1,0,0,1
172,1,0,1,1
172,1,0,2,1
172,1,0,3,1
172,0,0,4,1
172,0,0,5,1
173,1,0,0,1
173,0,0,1,1
173,1,0,2,1
173,0,0,3,1
173,0,0,4,1
173,1,0,5,1
174,1,0,0,1
174,1,0,1,1
174,0,0,2,1
174,1,0,3,1
174,0,0,4,1
174,0,0,5,1
175,1,0,0,1
175,1,0,1,1
175,1,0,2,1
175,0,0,3,1
175,0,0,4,1
175,0,0,5,1
176,0,0,0,1
176,0,0,1,1
176,0,0,2,1
176,0,0,3,1
176,0,0,4,1
176,0,0,5,1
177,0,0,0,1
177,1,0,1,1
177,1,0,2,1
177,1,0,3,1
177,1,0,4,1
177,1,0,5,1
178,1,0,0,1
178,1,0,1,1
178,1,0,2,1
178,1,0,3,1
178,0,0,4,1
178,0,0,5,1
179,0,0,0,1
179,1,0,1,1
179,1,0,2,1
179,0,0,3,1
179,0,0,4,1
179,0,0,5,1
180,1,0,0,1
180,1,0,1,1
180,1,0,2,1
180,1,0,3,1
180,0,0,4,1
180,0,0,5,1
181,1,0,0,1
181,0,0,1,1
181,1,0,2,1
181,1,0,3,1
181,0,0,4,1
181,0,0,5,1
182,1,0,0,1
182,1,0,1,1
182,0,0,2,1
182,1,0,3,1
182,0,0,4,1
182,0,0,5,1
183,1,0,0,1
183,0,0,1,1
183,0,0,2,1
183,1,0,3,1
183,0,0,4,1
183,0,0,5,1
184,0,0,0,1
184,0,0,1,1
184,0,0,2,1
184,1,0,3,1
184,0,0,4,1
184,0,0,5,1
185,1,0,0,1
185,1,0,1,1
185,1,0,2,1
185,1,0,3,1
185,1,0,4,1
185,1,0,5,1
186,1,0,0,1
186,1,0,1,1
186,0,0,2,1
186,1,0,3,1
186,0,0,4,1
186,0,0,5,1
187,1,0,0,1
187,0,0,1,1
187,1,0,2,1
187,0,0,3,1
187,0,0,4,1
187,0,0,5,1
188,1,0,0,1
188,1,0,1,1
188,0,0,2,1
188,0,0,3,1
188,0,0,4,1
188,0,0,5,1
189,0,0,0,1
189,0,0,1,1
189,0,0,2,1
189,1,0,3,1
189,0,0,4,1
189,0,0,5,1
190,1,0,0,1
190,1,0,1,1
190,1,0,2,1
190,0,0,3,1
190,0,0,4,1
190,0,0,5,1
191,1,0,0,1
191,1,0,1,1
191,1,0,2,1
191,1,0,3,1
191,1,0,4,1
191,1,0,5,1
192,1,0,0,1
192,1,0,1,1
192,1,0,2,1
192,1,0,3,1
192,0,0,4,1
192,0,0,5,1
193,1,0,0,1
193,1,0,1,1
193,0,0,2,1
193,1,0,3,1
193,0,0,4,1
193,0,0,5,1
194,0,0,0,1
194,0,0,1,1
194,1,0,2,1
194,1,0,3,1
194,0,0,4,1
194,0,0,5,1
195,1,0,0,1
195,1,0,1,1
195,0,0,2,1
195,1,0,3,1
195,1,0,4,1
195,1,0,5,1
196,1,1,0,0
196,0,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,0,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,0,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,0,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,1,1,0,0
196,1,1,1,0
196,1,1,2,0
196,1,1,3,0
196,0,1,4,0
196,0,1,5,0
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,0,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,1,1,2,1
196,1,1,3,1
196,0,1,4,1
196,1,1,5,1
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,1,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,0,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
196,0,1,0,1
196,0,1,1,1
196,1,1,2,1
196,1,1,3,1
196,0,1,4,1
196,0,1,5,1
